UNITID,INSTNM,is_stanford,bucket_col,net_price,income_bucket
243744,Stanford University,True,NPT41_PRIV,-2536.0,"$0–30,000"
217156,Brown University,False,NPT41_PRIV,-420.0,"$0–30,000"
110404,California Institute of Technology,False,NPT41_PRIV,-2133.0,"$0–30,000"
211440,Carnegie Mellon University,False,NPT41_PRIV,9097.0,"$0–30,000"
190150,Columbia University in the City of New York,False,NPT41_PRIV,4570.0,"$0–30,000"
190415,Cornell University,False,NPT41_PRIV,1776.0,"$0–30,000"
182670,Dartmouth College,False,NPT41_PRIV,41.0,"$0–30,000"
166027,Harvard University,False,NPT41_PRIV,8697.0,"$0–30,000"
162928,Johns Hopkins University,False,NPT41_PRIV,428.0,"$0–30,000"
166683,Massachusetts Institute of Technology,False,NPT41_PRIV,-2533.0,"$0–30,000"
147767,Northwestern University,False,NPT41_PRIV,1764.0,"$0–30,000"
186131,Princeton University,False,NPT41_PRIV,41.0,"$0–30,000"
227757,Rice University,False,NPT41_PRIV,5827.0,"$0–30,000"
144050,University of Chicago,False,NPT41_PRIV,-1264.0,"$0–30,000"
215062,University of Pennsylvania,False,NPT41_PRIV,-3012.0,"$0–30,000"
130794,Yale University,False,NPT41_PRIV,17633.0,"$0–30,000"
243744,Stanford University,True,NPT42_PRIV,-193.0,"$30,001–48,000"
217156,Brown University,False,NPT42_PRIV,2031.0,"$30,001–48,000"
110404,California Institute of Technology,False,NPT42_PRIV,-2886.0,"$30,001–48,000"
211440,Carnegie Mellon University,False,NPT42_PRIV,6994.0,"$30,001–48,000"
190150,Columbia University in the City of New York,False,NPT42_PRIV,2275.0,"$30,001–48,000"
190415,Cornell University,False,NPT42_PRIV,4070.0,"$30,001–48,000"
182670,Dartmouth College,False,NPT42_PRIV,489.0,"$30,001–48,000"
166027,Harvard University,False,NPT42_PRIV,2991.0,"$30,001–48,000"
162928,Johns Hopkins University,False,NPT42_PRIV,-213.0,"$30,001–48,000"
166683,Massachusetts Institute of Technology,False,NPT42_PRIV,93.0,"$30,001–48,000"
147767,Northwestern University,False,NPT42_PRIV,6099.0,"$30,001–48,000"
186131,Princeton University,False,NPT42_PRIV,352.0,"$30,001–48,000"
227757,Rice University,False,NPT42_PRIV,563.0,"$30,001–48,000"
144050,University of Chicago,False,NPT42_PRIV,914.0,"$30,001–48,000"
215062,University of Pennsylvania,False,NPT42_PRIV,316.0,"$30,001–48,000"
130794,Yale University,False,NPT42_PRIV,15626.0,"$30,001–48,000"
243744,Stanford University,True,NPT43_PRIV,3212.0,"$48,001–75,000"
217156,Brown University,False,NPT43_PRIV,5858.0,"$48,001–75,000"
110404,California Institute of Technology,False,NPT43_PRIV,431.0,"$48,001–75,000"
211440,Carnegie Mellon University,False,NPT43_PRIV,14468.0,"$48,001–75,000"
190150,Columbia University in the City of New York,False,NPT43_PRIV,5866.0,"$48,001–75,000"
190415,Cornell University,False,NPT43_PRIV,6796.0,"$48,001–75,000"
182670,Dartmouth College,False,NPT43_PRIV,2695.0,"$48,001–75,000"
166027,Harvard University,False,NPT43_PRIV,2091.0,"$48,001–75,000"
162928,Johns Hopkins University,False,NPT43_PRIV,4179.0,"$48,001–75,000"
166683,Massachusetts Institute of Technology,False,NPT43_PRIV,1480.0,"$48,001–75,000"
147767,Northwestern University,False,NPT43_PRIV,7898.0,"$48,001–75,000"
186131,Princeton University,False,NPT43_PRIV,1217.0,"$48,001–75,000"
227757,Rice University,False,NPT43_PRIV,3217.0,"$48,001–75,000"
144050,University of Chicago,False,NPT43_PRIV,226.0,"$48,001–75,000"
215062,University of Pennsylvania,False,NPT43_PRIV,10439.0,"$48,001–75,000"
130794,Yale University,False,NPT43_PRIV,17943.0,"$48,001–75,000"
243744,Stanford University,True,NPT44_PRIV,11092.0,"$75,001–110,000"
217156,Brown University,False,NPT44_PRIV,16219.0,"$75,001–110,000"
110404,California Institute of Technology,False,NPT44_PRIV,18753.0,"$75,001–110,000"
