UNITID,INSTNM,CITY,STABBR,HIGHDEG,CONTROL,CCBASIC,ADM_RATE,SAT_AVG,UGDS,NPT4_PRIV,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,COSTT4_A,TUITIONFEE_IN,PCTPELL,C150_4,RET_FT4,RPY_3YR_RT,PAR_ED_PCT_1STGEN,DEP_INC_AVG,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,HI_INC_DEBT_MDN,FIRSTGEN_DEBT_MDN,COUNT_WNE_P10,MD_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10,_key,real_PCT75_EARN_WNE_P10,real_COSTT4_A,real_NPT41_PRIV,real_NPT44_PRIV,real_GRAD_DEBT_MDN,real_PCT25_EARN_WNE_P10,real_NPT4_PRIV,real_HI_INC_DEBT_MDN,real_NPT43_PRIV,real_DEP_INC_AVG,real_MD_EARN_WNE_P10,real_TUITIONFEE_IN,real_NPT42_PRIV,real_LO_INC_DEBT_MDN,real_FIRSTGEN_DEBT_MDN,real_PCT90_EARN_WNE_P10,real_NPT45_PRIV,is_stanford
243744,Stanford University,Stanford,CA,4,2,15.0,0.0361,1553.0,7554,13807.0,-2536.0,-193.0,3212.0,11092.0,53882.0,87833.0,65910.0,0.1916,0.9192,0.9818,0.8992,0.3033854167,84509.973316,12000.0,6500.0,12000.0,8413.0,796,124080.0,73321.0,219740.0,232800.0,stanford university,225528.60494977827,90146.78237259432,-2602.8057802522876,11384.196259683902,12316.115679427228,75252.49314427366,14170.717432154313,12316.115679427228,3296.6136301933548,86736.21728543036,127348.63612527755,67646.26536925406,-198.08419384412127,6671.229326356416,8634.623434251773,238932.64418088825,55301.41208657483,True
217156,Brown University,Providence,RI,4,2,15.0,0.0539,1546.0,7226,25184.0,-420.0,2031.0,5858.0,16219.0,44937.0,87648.0,71412.0,0.1384,0.9569,0.9882,0.8700209644,0.1704035874,109656.95702,11428.0,7847.0,11076.0,10000.0,598,93487.0,63520.0,164436.0,161000.0,brown university,168767.73315519132,89956.90892253649,-431.064048779953,16646.256683719184,11729.047498707865,65193.30566310146,25847.42143922461,11367.774772111332,6012.317137507059,112545.64730935832,95949.72554355112,73293.20440827144,2084.5025787430586,8053.713311372122,10263.429732856024,165241.218698982,46120.774190535114,False
110404,California Institute of Technology,Pasadena,CA,4,2,15.0,0.0257,,987,16075.0,-2133.0,-2886.0,431.0,18753.0,54157.0,86886.0,65898.0,0.1799,0.9437,0.9737,,,,,,,,67,128566.0,78105.0,225460.0,189000.0,california institute of technology,231399.2867569719,89174.83557689284,-2189.18956201819,19247.0097780249,,80162.51792847198,16498.46329556606,,442.35382148609466,,131952.81070343676,67633.94925357462,-2962.0258209022486,,,193978.82195097886,55583.65640422837,False
211440,Carnegie Mellon University,Pittsburgh,PA,4,2,15.0,0.1166,1546.0,7304,31944.0,9097.0,6994.0,14468.0,24865.0,51480.0,83654.0,66246.0,0.1604,0.9413,0.98,0.9117859725,0.0995024876,,21750.0,19000.0,20500.0,20000.0,938,114862.0,72560.0,182769.0,172000.0,carnegie mellon university,187583.67888443626,85857.69508723379,9336.642027979125,25520.018030746505,22322.959668961852,74471.44614160332,32785.49993863529,21040.03095235485,14849.130137496097,,117887.80659753087,67991.11660827801,7178.242755159504,19500.516492426446,20526.85946571205,176530.9914051236,52836.13626474281,False
190150,Columbia University in the City of New York,New York,NY,4,2,15.0,0.0399,1553.0,8973,21590.0,4570.0,2275.0,5866.0,11782.0,50621.0,89472.0,71845.0,0.2271,0.961,0.98,0.7604951561,0.2504905167,88384.660131,21500.0,23000.0,15000.0,20000.0,1384,102491.0,62687.0,162279.0,205500.0,columbia university in the city of new york,166553.91136181427,91828.95850580942,4690.387387915203,12092.372911250968,22066.37392564045,64338.36196635456,22158.744793236157,15395.144599284036,6020.527881293344,90712.97487168798,105190.91767501467,73737.6109157041,2334.9302642247453,23605.888385568855,20526.85946571205,210913.4810101913,51954.50765069048,False
190415,Cornell University,Ithaca,NY,4,2,15.0,0.0876,1535.0,15995,28690.0,1776.0,4070.0,6796.0,14311.0,49992.0,88140.0,69314.0,0.1841,0.9538,0.9838,0.8747210711,0.1541640178,101314.63752,14000.0,8800.0,14170.0,11155.0,2027,104043.0,67090.0,166446.0,178800.0,cornell university,170830.68253149537,90461.869665393,1822.78512055523,14687.994290690256,14368.801625998434,68857.35007773107,29445.779903563933,14543.279931456986,6975.026846448954,103983.56630962985,106783.80196955393,71139.93685031825,4177.215901272401,9031.818164913302,11448.855867000895,183510.1236234657,51308.93792049384,False
182670,Dartmouth College,Hanover,NH,4,2,15.0,0.054,1534.0,4541,29519.0,41.0,489.0,2695.0,8534.0,52036.0,87793.0,68268.0,0.1435,0.9554,0.9842,0.8680555556,0.1736263736,117391.32598,17500.0,7867.0,17483.0,11000.0,390,97434.0,64562.0,189467.0,210500.0,dartmouth college,194458.12411950322,90105.7286536629,42.0800619047097,8758.810934019331,17961.002032498043,66262.75504126506,30296.618228417698,17943.554201952185,2765.9943130046986,120483.76254425258,100000.70125910938,70066.3821002615,501.8817139366596,8074.240170837834,11289.772706141626,216045.1958766193,53406.782957889605,False
166027,Harvard University,Cambridge,MA,4,2,15.0,0.0365,1553.0,7601,19066.0,8697.0,2991.0,2091.0,9941.0,53337.0,85540.0,61676.0,0.1643,0.9758,0.983,0.7071428571,0.25708061,73075.559607,14000.0,12500.0,11535.0,12736.0,612,101817.0,65309.0,200054.0,250000.0,harvard university,205324.01717767792,87793.37793485043,8926.104838664884,10202.875497432173,14368.801625998434,67029.4332423094,19568.255128663295,11838.866196849423,2146.0831571401945,75000.58712155765,104499.16251102019,63300.72922036282,3069.791833097237,12829.287166070031,13071.504107765433,256585.7433214006,54742.055166134174,False
162928,Johns Hopkins University,Baltimore,MD,4,2,15.0,0.0644,1553.0,5693,18809.0,428.0,-213.0,4179.0,14591.0,37774.0,85947.0,65230.0,0.1949,0.9378,0.9809,0.822309417,0.1312714777,123341.6744,10250.0,7395.0,10000.0,8750.0,1162,87555.0,64509.0,135223.0,148600.0,johns hopkins university,138785.175876599,88211.09952497768,439.27479256623786,14975.370323210225,10520.015476177425,66208.35886368093,19304.484984528895,10263.429732856024,4289.087285360532,126590.86083372068,89861.45902602092,66948.35214741985,-218.61105330983332,7589.80628744703,8980.501016249022,152514.56583024052,38769.07947289035,False
166683,Massachusetts Institute of Technology,Cambridge,MA,4,2,15.0,0.0455,1560.0,4535,20111.0,-2533.0,93.0,1480.0,11555.0,48479.0,82730.0,62396.0,0.1932,0.9641,0.9908,0.9182282794,0.2585139319,88351.859701,14768.0,6500.0,13837.0,13000.0,650,143372.0,88222.0,243025.0,242300.0,massachusetts institute of technology,249427.00108273354,84909.3541799179,-2599.726751332431,11859.393056315135,15157.033029481776,90546.02978920241,20640.783535746752,14201.50772135288,1518.9876004626915,90679.31038083673,147148.8447659034,64039.69616112845,95.44989651556102,6671.229326356416,13342.458652712832,248682.90242710148,49756.08100191272,False
