UNITID,INSTNM,CITY,STABBR,HIGHDEG,CONTROL,CCBASIC,ADM_RATE,SAT_AVG,UGDS,NPT4_PRIV,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,COSTT4_A,TUITIONFEE_IN,PCTPELL,C150_4,RET_FT4,RPY_3YR_RT,PAR_ED_PCT_1STGEN,DEP_INC_AVG,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,HI_INC_DEBT_MDN,FIRSTGEN_DEBT_MDN,COUNT_WNE_P10,MD_EARN_WNE_P10,PCT25_EARN_WNE_P10,PCT75_EARN_WNE_P10,PCT90_EARN_WNE_P10,_key,real_PCT75_EARN_WNE_P10,real_COSTT4_A,real_NPT41_PRIV,real_NPT44_PRIV,real_GRAD_DEBT_MDN,real_PCT25_EARN_WNE_P10,real_NPT4_PRIV,real_HI_INC_DEBT_MDN,real_NPT43_PRIV,real_DEP_INC_AVG,real_MD_EARN_WNE_P10,real_TUITIONFEE_IN,real_NPT42_PRIV,real_LO_INC_DEBT_MDN,real_FIRSTGEN_DEBT_MDN,real_PCT90_EARN_WNE_P10,real_NPT45_PRIV
101189,Faulkner University,Montgomery,AL,4,2,18.0,0.7307,1020.0,1549,22085.0,23385.0,20897.0,19170.0,21255.0,22835.0,37626.0,23920.0,0.4562,0.374,0.6447,0.3081623745,0.4300319489,52552.186589,23000.0,15750.0,14600.0,14750.0,1589,43457.0,25494.0,64288.0,80700.0,faulkner university,65981.5370665848,38617.18071284408,24001.030430283812,21814.91989718548,23605.888385568855,26165.587760943148,22666.78456501253,14984.607409969796,19674.994797885,53936.56743641402,44601.78659007242,24550.12392099161,21447.489112749234,16164.901829248238,15138.558855962636,82825.87794414812,23436.541794976732
101365,Herzing University-Birmingham,Birmingham,AL,3,2,26.0,0.9326,,442,19651.0,19913.0,17909.0,20097.0,,,27750.0,13450.0,0.6771,0.125,0.6667,0.3041105434,0.5209032652,42942.389088,21500.0,10662.0,15250.0,11350.0,8016,36909.0,19077.0,56514.0,77200.0,herzing university-birmingham,58002.74679226254,28481.017508675468,20437.567627036202,,22066.37392564045,19579.544901369438,20168.665768035375,15651.730342605437,20626.414734120754,44073.619296565135,37881.2928009983,13804.312990691353,18380.776308571854,10942.868781171093,11648.992746791588,79233.6775376485,
101435,Huntingdon College,Montgomery,AL,4,2,22.0,0.6949,1142.0,879,22566.0,20435.0,19992.0,22966.0,24589.0,24713.0,40908.0,29070.0,0.4007,0.4798,0.6699,0.5146036161,0.3456,61236.688213,27000.0,25000.0,15250.0,21306.0,525,49601.0,34151.0,71130.0,73200.0,huntingdon college,73003.7756898049,41985.63835116742,20973.318659091285,25236.74737011968,27711.260278711266,35050.63888067661,23160.455535162906,15651.730342605437,23570.992724477146,62849.84465469383,50907.63781793917,29835.790233412463,20518.648721925765,25658.574332140062,21867.263388823045,75128.3056445061,25364.013898807094
101675,Miles College,Fairfield,AL,3,2,22.0,,,1155,14271.0,13907.0,13677.0,16747.0,18889.0,,21154.0,13314.0,0.7194,0.158,0.5625,0.149776928,0.4164588529,26571.678053,31217.0,16500.0,15000.0,15250.0,867,32627.0,17195.0,47772.0,51200.0,miles college,49030.4565197998,21711.259256883633,14273.351729482873,19386.592422391743,32039.34859705665,17647.967425645933,14646.940571758832,15395.144599284036,17188.165773613982,27271.655058103806,33486.49218938935,13664.73034632451,14037.292845627184,16934.65905921244,15651.730342605437,52548.76023222284,
101693,University of Mobile,Mobile,AL,4,2,20.0,0.7789,1220.0,1307,22382.0,17550.0,21133.0,21633.0,24766.0,27447.0,41115.0,26910.0,0.2565,0.5685,0.7396,0.4438722966,0.3242857143,66981.292731,26500.0,22223.0,14300.0,19940.0,714,43611.0,28429.0,59995.0,73400.0,university of mobile,61575.446682269714,42198.09134663754,18012.319181162322,25418.41007639123,27198.088792068465,29177.90438753639,22971.608428078354,14676.704517984115,22202.877541087437,68745.77913604784,44759.843407958404,27618.88941111556,21689.706054444636,22808.419895325944,20465.27888731491,75333.57423916322,28170.03558776993
101912,Oakwood University,Huntsville,AL,4,2,21.0,0.4522,,1153,25669.0,23999.0,22444.0,24501.0,28074.0,27219.0,40176.0,22512.0,0.4437,0.4462,0.7113,0.2837301587,0.17623498,58300.05506,27000.0,20500.0,21500.0,20625.0,598,42488.0,23113.0,67182.0,75600.0,oakwood university,68951.77363127335,41234.355294722365,24631.205015881173,28813.55263202,27711.260278711266,23721.86514155013,26345.19778126813,22066.37392564045,25146.429188470545,59835.85185299473,43607.26024895868,23105.03301460548,23035.24169242206,21040.03095235485,21168.32382401555,77591.52878039154,27936.02938986081
102049,Samford University,Birmingham,AL,4,2,17.0,0.8236,1201.0,4206,32622.0,22716.0,24812.0,31527.0,34206.0,36235.0,57456.0,40150.0,0.1109,0.7704,0.9287,0.7767548907,0.1380552221,119188.063,19500.0,18538.0,15000.0,16500.0,664,58469.0,38802.0,91693.0,124000.0,samford university,94108.46624947674,58969.56187309757,23314.406981155746,35107.08774420732,20013.687979069247,39824.16004942795,33481.360474522924,15395.144599284036,32357.51491877519,122327.8309595717,60009.24730503589,41207.67037741694,25465.621853162367,19026.346038768497,16934.65905921244,127266.5286874147,37189.53763700381
102234,Spring Hill College,Mobile,AL,4,2,22.0,0.7657,1120.0,782,20449.0,15598.0,20141.0,22317.0,20642.0,26240.0,39936.0,24054.0,0.3161,0.521,0.7023,0.6072013093,0.2516339869,83236.990323,27000.0,19500.0,23125.0,20362.0,503,51500.0,32496.0,72223.0,84300.0,spring hill college,74125.56855960606,40988.032981133816,16008.897697308827,21185.771654561406,27711.260278711266,33352.04125988894,20987.687460717283,23734.181257229557,22904.89613481479,85429.70013545275,52856.66312420853,24687.653879411882,20671.573824945317,20013.687979069247,20898.395622041437,86520.71264797628,26931.239619014206
102270,Stillman College,Tuscaloosa,AL,3,2,22.0,0.6225,,706,15258.0,14804.0,13955.0,20841.0,15872.0,19343.0,26107.0,12126.0,0.763,0.25,0.5281,0.2526595745,0.4105058366,30744.601202,29067.0,16375.0,20344.0,16000.0,534,35421.0,18957.0,53304.0,51500.0,stillman college,54708.18584801575,26794.73600356722,15193.981376520058,16290.115671989082,29832.711204492607,19456.383744575167,15659.941086391722,20879.921448522295,21390.01390624524,31554.505410140788,36354.09445674932,12445.434894061214,14322.616192200581,16806.36618755174,16421.48757256964,52856.66312420853,19852.55213226341
102298,Talladega College,Talladega,AL,4,2,22.0,0.8542,,701,15560.0,12835.0,14385.0,14680.0,18723.0,22348.0,25185.0,15650.0,0.6662,0.3091,0.5441,0.1789181692,0.3980582524,30897.974359,28500.0,14750.0,12500.0,15000.0,394,32229.0,17337.0,48588.0,53300.0,talladega college,49867.95238600085,25848.447782197898,13173.112062120706,19216.219488826333,29250.77473863967,17793.70812785249,15969.896664323973,12829.287166070031,15066.714847832643,31711.918872118364,33078.00768602168,16062.267531919679,14763.94367071339,15138.558855962636,15395.144599284036,54704.08047612261,22936.712766986642
