INSTNM,"$0–30,000","$110,001+","$30,001–48,000","$48,001–75,000","$75,001–110,000"
Brown University,-420.0,44937.0,2031.0,5858.0,16219.0
California Institute of Technology,-2133.0,54157.0,-2886.0,431.0,18753.0
Carnegie Mellon University,9097.0,51480.0,6994.0,14468.0,24865.0
Columbia University in the City of New York,4570.0,50621.0,2275.0,5866.0,11782.0
Cornell University,1776.0,49992.0,4070.0,6796.0,14311.0
Dartmouth College,41.0,52036.0,489.0,2695.0,8534.0
Harvard University,8697.0,53337.0,2991.0,2091.0,9941.0
Johns Hopkins University,428.0,37774.0,-213.0,4179.0,14591.0
Massachusetts Institute of Technology,-2533.0,48479.0,93.0,1480.0,11555.0
Northwestern University,1764.0,48777.0,6099.0,7898.0,18282.0
Princeton University,41.0,36094.0,352.0,1217.0,4478.0
Rice University,5827.0,48466.0,563.0,3217.0,17755.0
Stanford University,-2536.0,53882.0,-193.0,3212.0,11092.0
University of Chicago,-1264.0,48524.0,914.0,226.0,12602.0
University of Pennsylvania,-3012.0,55972.0,316.0,10439.0,25476.0
Yale University,17633.0,45951.0,15626.0,17943.0,12558.0
