INSTNM,COSTT4_A,NPT4_PRIV,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,MD_EARN_WNE_P10,PCT90_EARN_WNE_P10,PCTPELL,GRAD_DEBT_MDN,C150_4,PAR_ED_PCT_1STGEN,DEP_INC_AVG
Princeton University,84040.0,6128.0,41.0,352.0,1217.0,4478.0,36094.0,110066.0,217200.0,0.1924,10320.0,0.9761,0.2773972603,
Rice University,79788.0,13370.0,5827.0,563.0,3217.0,17755.0,48466.0,89718.0,161600.0,0.1703,11000.0,0.9464,0.1447587354,85156.510467
Stanford University,87833.0,13807.0,-2536.0,-193.0,3212.0,11092.0,53882.0,124080.0,232800.0,0.1916,12000.0,0.9192,0.3033854167,84509.973316
University of Chicago,90360.0,14860.0,-1264.0,914.0,226.0,12602.0,48524.0,91885.0,195000.0,0.1526,15000.0,0.9585,0.202435312,107141.12893
California Institute of Technology,86886.0,16075.0,-2133.0,-2886.0,431.0,18753.0,54157.0,128566.0,189000.0,0.1799,,0.9437,,
Johns Hopkins University,85947.0,18809.0,428.0,-213.0,4179.0,14591.0,37774.0,87555.0,148600.0,0.1949,10250.0,0.9378,0.1312714777,123341.6744
Harvard University,85540.0,19066.0,8697.0,2991.0,2091.0,9941.0,53337.0,101817.0,250000.0,0.1643,14000.0,0.9758,0.25708061,73075.559607
Massachusetts Institute of Technology,82730.0,20111.0,-2533.0,93.0,1480.0,11555.0,48479.0,143372.0,242300.0,0.1932,14768.0,0.9641,0.2585139319,88351.859701
Columbia University in the City of New York,89472.0,21590.0,4570.0,2275.0,5866.0,11782.0,50621.0,102491.0,205500.0,0.2271,21500.0,0.961,0.2504905167,88384.660131
Yale University,88300.0,23777.0,17633.0,15626.0,17943.0,12558.0,45951.0,100533.0,184800.0,0.2039,12975.0,0.9574,0.25,81884.743697
Brown University,87648.0,25184.0,-420.0,2031.0,5858.0,16219.0,44937.0,93487.0,161000.0,0.1384,11428.0,0.9569,0.1704035874,109656.95702
Cornell University,88140.0,28690.0,1776.0,4070.0,6796.0,14311.0,49992.0,104043.0,178800.0,0.1841,14000.0,0.9538,0.1541640178,101314.63752
University of Pennsylvania,89028.0,28699.0,-3012.0,316.0,10439.0,25476.0,55972.0,111371.0,236200.0,0.1653,15715.0,0.9654,0.1876351059,98373.94004
Northwestern University,91250.0,29167.0,1764.0,6099.0,7898.0,18282.0,48777.0,89363.0,173600.0,0.1855,15000.0,0.9513,0.1515711645,104163.09285
Dartmouth College,87793.0,29519.0,41.0,489.0,2695.0,8534.0,52036.0,97434.0,210500.0,0.1435,17500.0,0.9554,0.1736263736,117391.32598
Carnegie Mellon University,83654.0,31944.0,9097.0,6994.0,14468.0,24865.0,51480.0,114862.0,172000.0,0.1604,21750.0,0.9413,0.0995024876,
