year_int,year_label,cpi_ratio,stanford_tuition,stanford_cost,peer_median_tuition,peer_median_cost,national_median_tuition,national_median_cost,n_peer,n_national,real_stanford_tuition,real_stanford_cost,real_peer_median_tuition,real_peer_median_cost,real_national_median_tuition,real_national_median_cost
1996,1996-97,2.0525648988423257,,,,,,,15,4196,,,,,,
1997,1997-98,2.0056807917203496,,,,,,,15,4257,,,,,,
1998,1998-99,1.975125458356377,,,,,,,15,4184,,,,,,
1999,1999-00,1.932737823457183,,,,,,,15,4128,,,,,,
2000,2000-01,1.869787982911924,24716.0,,24890.0,,3299.5,,15,4180,46213.67978565112,,46539.02289467779,,6169.365449617894,
2001,2001-02,1.818565737392756,25917.0,,26160.0,,3757.5,,15,4198,47131.76821600805,,47573.67969019449,,6833.26075825328,
2002,2002-03,1.790003201024328,27204.0,,27390.0,,4030.5,,15,4164,48695.24708066582,,49028.18767605634,,7214.607901728554,
2003,2003-04,1.7497929841897233,28563.0,,28965.0,,4439.0,,15,4119,49979.33700741106,,50682.753787055335,,7767.331056818181,
2004,2004-05,1.7043287789893289,29847.0,,30465.0,,4835.0,,15,4089,50869.10106649449,,51922.3762519099,,8240.429646413404,
2005,2005-06,1.6488319004314227,31200.0,,31789.0,,5208.5,,15,4114,51443.55529346039,,52414.7172828145,,8587.940953397065,
2006,2006-07,1.5973634221238309,32994.0,,33600.0,,5500.0,,15,4085,52703.40874955367,,53671.41098336072,,8785.498821681069,
2007,2007-08,1.5527898096525945,35089.0,,35178.0,,5816.5,,15,4053,54485.84163089988,,54624.03992395896,,9031.801927844315,
2008,2008-09,1.4957284657139598,36798.0,,36915.0,,6128.0,,15,4008,55039.816081342295,,55214.81631183082,,9165.824037895143,
2009,2009-10,1.5005355452633198,38676.0,51760.0,38463.0,50560.0,6495.0,16205.0,15,4025,58034.71274860416,77667.71982282943,57715.098677463066,75867.07716851345,9745.978366485262,24316.178510992097
2010,2010-11,1.4763736634413316,40172.0,54009.0,40223.0,52950.0,6916.0,16991.0,15,4010,59308.88280776517,79737.46518880287,59384.17786460068,78173.9854792185,10210.600256360249,25085.064915531664
2011,2011-12,1.4314316859143312,41564.0,55918.0,41983.0,55250.0,7442.0,17866.0,15,4067,59496.02659334326,80042.79701295757,60095.79646974137,79086.6006467668,10652.714606574453,25573.958500545443
2012,2012-13,1.4023581238739824,42225.0,57755.0,43413.0,57360.0,7712.0,18772.0,15,4057,59214.57178057891,80993.19344434186,60880.5732317412,80439.26198541163,10814.985851316153,26325.0667013624
2013,2013-14,1.3820969754076076,43683.0,58408.0,45470.0,59320.0,8060.0,19182.0,15,4075,60374.14217673052,80725.52013960754,62843.94947178392,81985.99258117928,11139.701621785316,26511.38418226873
2014,2014-15,1.3601246608407118,45195.0,60311.0,47251.0,61608.0,8358.0,19524.0,15,4033,61470.83404669597,82030.47841996417,64267.25034938447,83794.56010507458,11367.92191530667,26555.073878254057
2015,2015-16,1.3584790369307782,46320.0,62363.0,49047.0,63596.0,8640.0,20104.0,15,4106,62924.74899063365,84718.82818011413,66629.32132434388,86393.83283264977,11737.258879081925,27310.862558456363
2016,2016-17,1.3414776781395243,47940.0,64477.0,50855.0,65473.0,8706.0,20528.0,15,4098,64310.4398900088,86494.45625340211,68220.8473217855,87830.56802082907,11678.9046658827,27537.853776848155
2017,2017-18,1.3134815421400414,49617.0,66696.0,52678.0,67980.0,8884.0,20859.0,15,4101,65171.01367636243,87603.9649345722,69191.5806768531,89290.47523468002,11668.970020372128,27397.911487499125
2018,2018-19,1.2822084834534082,51354.0,69109.0,54568.0,71050.0,9172.0,21202.0,15,4092,65846.53445926633,88612.14608298159,69967.55252508559,91100.91274936464,11760.41621023466,27185.38426617916
2019,2019-20,1.2593727976185485,53529.0,71587.0,56691.0,73879.0,9265.5,21570.0,15,4078,67412.96648372328,90154.72046311904,71395.10326979314,93041.20291526074,11668.71865633466,27164.67124463209
2020,2020-21,1.2437889020850768,56169.0,74570.0,58701.0,75914.0,9215.0,21758.0,15,4061,69862.37884121668,92749.33842848416,73011.6523412961,94420.99071288652,11461.514732713982,27062.3589315671
2021,2021-22,1.188167876581654,56169.0,70869.0,59950.0,76870.0,9374.0,21612.0,15,4023,66738.20145971492,84204.26924546524,71230.66420107016,91334.46467283176,11137.885675076426,25678.68414868271
2022,2022-23,1.1002489548223486,58416.0,78898.0,62250.0,81292.0,9538.0,22527.5,15,4024,64272.14294490232,86807.44203757367,68490.4974376912,89441.43803541837,10494.17453109556,24785.85832976046
2023,2023-24,1.0566417432414812,62484.0,82162.0,64700.0,83598.0,9792.0,23142.0,15,3994,66023.20268470071,86815.79890820658,68364.72078772384,88333.13645150134,10346.635949820584,24452.80322209436
2024,2024-25,1.0263429732856024,65910.0,87833.0,67250.0,87648.0,10068.0,24207.0,15,3951,67646.26536925406,90146.78237259432,69021.56495345676,89956.90892253649,10333.221055039445,24844.684354324578
2025,2025-26,1.0,,,,,,,15,3932,,,,,,
